ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
GNB5	G protein subunit beta 5(GNB5)	Homo sapiens	GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007212~dopamine receptor signaling pathway,GO:0036367~light adaption,GO:0043547~positive regulation of GTPase activity,GO:1901386~negative regulation of voltage-gated calcium channel activity,GO:1990603~dark adaptation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005834~heterotrimeric G-protein complex,GO:0005886~plasma membrane,GO:0098793~presynapse,GO:1902773~GTPase activator complex,	GO:0003924~GTPase activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0030159~receptor signaling complex scaffold activity,GO:0031682~G-protein gamma-subunit binding,GO:0051087~chaperone binding,
GPER1	G protein-coupled estrogen receptor 1(GPER1)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation,GO:0001956~positive regulation of neurotransmitter secretion,GO:0002695~negative regulation of leukocyte activation,GO:0006954~inflammatory response,GO:0007049~cell cycle,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007399~nervous system development,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010948~negative regulation of cell cycle process,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0019228~neuronal action potential,GO:0030154~cell differentiation,GO:0030263~apoptotic chromosome condensation,GO:0030264~nuclear fragmentation involved in apoptotic nuclear change,GO:0030335~positive regulation of cell migration,GO:0030518~intracellular steroid hormone receptor signaling pathway,GO:0032024~positive regulation of insulin secretion,GO:0032962~positive regulation of inositol trisphosphate biosynthetic process,GO:0042311~vasodilation,GO:0043065~positive regulation of apoptotic process,GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043401~steroid hormone mediated signaling pathway,GO:0043410~positive regulation of MAPK cascade,GO:0045087~innate immune response,GO:0045599~negative regulation of fat cell differentiation,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0045745~positive regulation of G-protein coupled receptor protein signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050728~negative regulation of inflammatory response,GO:0050769~positive regulation of neurogenesis,GO:0050804~modulation of synaptic transmission,GO:0051055~negative regulation of lipid biosynthetic process,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0051726~regulation of cell cycle,GO:0051898~negative regulation of protein kinase B signaling,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070474~positive regulation of uterine smooth muscle contraction,GO:0071333~cellular response to glucose stimulus,GO:0071356~cellular response to tumor necrosis factor,GO:0071375~cellular response to peptide hormone stimulus,GO:0071389~cellular response to mineralocorticoid stimulus,GO:0071392~cellular response to estradiol stimulus,GO:0090200~positive regulation of release of cytochrome c from mitochondria,GO:1903078~positive regulation of protein localization to plasma membrane,GO:1904706~negative regulation of vascular smooth muscle cell proliferation,GO:2000353~positive regulation of endothelial cell apoptotic process,GO:2000724~positive regulation of cardiac vascular smooth muscle cell differentiation,GO:2001238~positive regulation of extrinsic apoptotic signaling pathway,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0014069~postsynaptic density,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0030659~cytoplasmic vesicle membrane,GO:0031966~mitochondrial membrane,GO:0032591~dendritic spine membrane,GO:0042734~presynaptic membrane,GO:0043198~dendritic shaft,GO:0043231~intracellular membrane-bounded organelle,GO:0043679~axon terminus,GO:0044327~dendritic spine head,GO:0045095~keratin filament,GO:0048471~perinuclear region of cytoplasm,GO:0048786~presynaptic active zone,GO:0055037~recycling endosome,GO:0070161~anchoring junction,GO:0098686~hippocampal mossy fiber to CA3 synapse,	GO:0003682~chromatin binding,GO:0003707~steroid hormone receptor activity,GO:0004930~G-protein coupled receptor activity,GO:0005496~steroid binding,GO:0005515~protein binding,GO:0030284~estrogen receptor activity,GO:0038054~G-protein coupled estrogen receptor activity,GO:1990239~steroid hormone binding,
GPATCH8	G-patch domain containing 8(GPATCH8)	Homo sapiens		GO:0005634~nucleus,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0046872~metal ion binding,
G3BP1	G3BP stress granule assembly factor 1(G3BP1)	Homo sapiens	GO:0007265~Ras protein signal transduction,GO:0032481~positive regulation of type I interferon production,GO:0032508~DNA duplex unwinding,GO:0034063~stress granule assembly,GO:0045087~innate immune response,GO:0051607~defense response to virus,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090305~nucleic acid phosphodiester bond hydrolysis,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005925~focal adhesion,GO:0010494~cytoplasmic stress granule,GO:0016021~integral component of membrane,GO:0043204~perikaryon,GO:1990904~ribonucleoprotein complex,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003723~RNA binding,GO:0003724~RNA helicase activity,GO:0003729~mRNA binding,GO:0004519~endonuclease activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0033677~DNA/RNA helicase activity,
GABPB1	GA binding protein transcription factor subunit beta 1(GABPB1)	Homo sapiens	GO:0007005~mitochondrion organization,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0036464~cytoplasmic ribonucleoprotein granule,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0005515~protein binding,
GATA2	GATA binding protein 2(GATA2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001655~urogenital system development,GO:0001709~cell fate determination,GO:0001764~neuron migration,GO:0001892~embryonic placenta development,GO:0002071~glandular epithelial cell maturation,GO:0002244~hematopoietic progenitor cell differentiation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006909~phagocytosis,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010725~regulation of primitive erythrocyte differentiation,GO:0021514~ventral spinal cord interneuron differentiation,GO:0021533~cell differentiation in hindbrain,GO:0021902~commitment of neuronal cell to specific neuron type in forebrain,GO:0021954~central nervous system neuron development,GO:0021983~pituitary gland development,GO:0030097~hemopoiesis,GO:0033993~response to lipid,GO:0035019~somatic stem cell population maintenance,GO:0035065~regulation of histone acetylation,GO:0035854~eosinophil fate commitment,GO:0042472~inner ear morphogenesis,GO:0043306~positive regulation of mast cell degranulation,GO:0043536~positive regulation of blood vessel endothelial cell migration,GO:0045165~cell fate commitment,GO:0045599~negative regulation of fat cell differentiation,GO:0045648~positive regulation of erythrocyte differentiation,GO:0045650~negative regulation of macrophage differentiation,GO:0045654~positive regulation of megakaryocyte differentiation,GO:0045666~positive regulation of neuron differentiation,GO:0045746~negative regulation of Notch signaling pathway,GO:0045766~positive regulation of angiogenesis,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,GO:0048873~homeostasis of number of cells within a tissue,GO:0050766~positive regulation of phagocytosis,GO:0050873~brown fat cell differentiation,GO:0060100~positive regulation of phagocytosis, engulfment,GO:0060129~thyroid-stimulating hormone-secreting cell differentiation,GO:0060216~definitive hemopoiesis,GO:0060872~semicircular canal development,GO:0061042~vascular wound healing,GO:0061351~neural precursor cell proliferation,GO:0061484~hematopoietic stem cell homeostasis,GO:0070345~negative regulation of fat cell proliferation,GO:0090050~positive regulation of cell migration involved in sprouting angiogenesis,GO:0090102~cochlea development,GO:0097154~GABAergic neuron differentiation,GO:1901533~negative regulation of hematopoietic progenitor cell differentiation,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1903444~negative regulation of brown fat cell differentiation,GO:1903589~positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,GO:2000178~negative regulation of neural precursor cell proliferation,GO:2000352~negative regulation of endothelial cell apoptotic process,GO:2000977~regulation of forebrain neuron differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001221~transcription cofactor binding,GO:0001223~transcription coactivator binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008270~zinc ion binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070742~C2H2 zinc finger domain binding,GO:1990837~sequence-specific double-stranded DNA binding,
GATA3	GATA binding protein 3(GATA3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001701~in utero embryonic development,GO:0001709~cell fate determination,GO:0001764~neuron migration,GO:0001806~type IV hypersensitivity,GO:0001817~regulation of cytokine production,GO:0001822~kidney development,GO:0001823~mesonephros development,GO:0002088~lens development in camera-type eye,GO:0002520~immune system development,GO:0002572~pro-T cell differentiation,GO:0003180~aortic valve morphogenesis,GO:0003215~cardiac right ventricle morphogenesis,GO:0003281~ventricular septum development,GO:0006338~chromatin remodeling,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006952~defense response,GO:0006959~humoral immune response,GO:0007165~signal transduction,GO:0007411~axon guidance,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008584~male gonad development,GO:0009410~response to xenobiotic stimulus,GO:0009615~response to virus,GO:0009653~anatomical structure morphogenesis,GO:0009791~post-embryonic development,GO:0009967~positive regulation of signal transduction,GO:0010332~response to gamma radiation,GO:0010595~positive regulation of endothelial cell migration,GO:0010719~negative regulation of epithelial to mesenchymal transition,GO:0010975~regulation of neuron projection development,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0030101~natural killer cell activation,GO:0030217~T cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030856~regulation of epithelial cell differentiation,GO:0031929~TOR signaling,GO:0032689~negative regulation of interferon-gamma production,GO:0032703~negative regulation of interleukin-2 production,GO:0032736~positive regulation of interleukin-13 production,GO:0032753~positive regulation of interleukin-4 production,GO:0032754~positive regulation of interleukin-5 production,GO:0033600~negative regulation of mammary gland epithelial cell proliferation,GO:0035162~embryonic hemopoiesis,GO:0035457~cellular response to interferon-alpha,GO:0035799~ureter maturation,GO:0035898~parathyroid hormone secretion,GO:0042421~norepinephrine biosynthetic process,GO:0042472~inner ear morphogenesis,GO:0042493~response to drug,GO:0043370~regulation of CD4-positive, alpha-beta T cell differentiation,GO:0043523~regulation of neuron apoptotic process,GO:0043583~ear development,GO:0043627~response to estrogen,GO:0045061~thymic T cell selection,GO:0045064~T-helper 2 cell differentiation,GO:0045087~innate immune response,GO:0045165~cell fate commitment,GO:0045471~response to ethanol,GO:0045582~positive regulation of T cell differentiation,GO:0045599~negative regulation of fat cell differentiation,GO:0045622~regulation of T-helper cell differentiation,GO:0045786~negative regulation of cell cycle,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,GO:0048485~sympathetic nervous system development,GO:0048538~thymus development,GO:0048568~embryonic organ development,GO:0048589~developmental growth,GO:0048646~anatomical structure formation involved in morphogenesis,GO:0050728~negative regulation of inflammatory response,GO:0050852~T cell receptor signaling pathway,GO:0051569~regulation of histone H3-K4 methylation,GO:0051897~positive regulation of protein kinase B signaling,GO:0060017~parathyroid gland development,GO:0060037~pharyngeal system development,GO:0060065~uterus development,GO:0060231~mesenchymal to epithelial transition,GO:0060374~mast cell differentiation,GO:0060676~ureteric bud formation,GO:0061085~regulation of histone H3-K27 methylation,GO:0061290~canonical Wnt signaling pathway involved in metanephric kidney development,GO:0071353~cellular response to interleukin-4,GO:0071356~cellular response to tumor necrosis factor,GO:0071442~positive regulation of histone H3-K14 acetylation,GO:0071599~otic vesicle development,GO:0071773~cellular response to BMP stimulus,GO:0072107~positive regulation of ureteric bud formation,GO:0072178~nephric duct morphogenesis,GO:0072179~nephric duct formation,GO:0072182~regulation of nephron tubule epithelial cell differentiation,GO:0072197~ureter morphogenesis,GO:0072676~lymphocyte migration,GO:0090102~cochlea development,GO:1901536~negative regulation of DNA demethylation,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:2000114~regulation of establishment of cell polarity,GO:2000146~negative regulation of cell motility,GO:2000352~negative regulation of endothelial cell apoptotic process,GO:2000553~positive regulation of T-helper 2 cell cytokine production,GO:2000607~negative regulation of cell proliferation involved in mesonephros development,GO:2000611~positive regulation of thyroid hormone generation,GO:2000617~positive regulation of histone H3-K9 acetylation,GO:2000679~positive regulation of transcription regulatory region DNA binding,GO:2000683~regulation of cellular response to X-ray,GO:2000703~negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation,GO:2000734~negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001223~transcription coactivator binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005134~interleukin-2 receptor binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070888~E-box binding,GO:0071837~HMG box domain binding,GO:1990837~sequence-specific double-stranded DNA binding,
GFUS	GDP-L-fucose synthase(GFUS)	Homo sapiens	GO:0007159~leukocyte cell-cell adhesion,GO:0010595~positive regulation of endothelial cell migration,GO:0019673~GDP-mannose metabolic process,GO:0022900~electron transport chain,GO:0042351~'de novo' GDP-L-fucose biosynthetic process,GO:1904906~positive regulation of endothelial cell-matrix adhesion via fibronectin,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0009055~electron carrier activity,GO:0042356~GDP-4-dehydro-D-rhamnose reductase activity,GO:0042802~identical protein binding,GO:0047918~GDP-mannose 3,5-epimerase activity,GO:0050577~GDP-L-fucose synthase activity,
GNAS	GNAS complex locus(GNAS)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0007191~adenylate cyclase-activating dopamine receptor signaling pathway,GO:0007565~female pregnancy,GO:0007606~sensory perception of chemical stimulus,GO:0007608~sensory perception of smell,GO:0009306~protein secretion,GO:0009966~regulation of signal transduction,GO:0031279~regulation of cyclase activity,GO:0040015~negative regulation of multicellular organism growth,GO:0043547~positive regulation of GTPase activity,GO:0043950~positive regulation of cAMP-mediated signaling,GO:0046907~intracellular transport,GO:0048589~developmental growth,GO:0050890~cognition,GO:0060348~bone development,GO:0060789~hair follicle placode formation,GO:0070527~platelet aggregation,GO:0071107~response to parathyroid hormone,GO:0071380~cellular response to prostaglandin E stimulus,GO:0071870~cellular response to catecholamine stimulus,GO:0071880~adenylate cyclase-activating adrenergic receptor signaling pathway,	GO:0001726~ruffle,GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005834~heterotrimeric G-protein complex,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030133~transport vesicle,GO:0031224~intrinsic component of membrane,GO:0032588~trans-Golgi network membrane,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0001664~G-protein coupled receptor binding,GO:0003924~GTPase activity,GO:0005159~insulin-like growth factor receptor binding,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0010856~adenylate cyclase activator activity,GO:0019001~guanyl nucleotide binding,GO:0031683~G-protein beta/gamma-subunit complex binding,GO:0031698~beta-2 adrenergic receptor binding,GO:0031748~D1 dopamine receptor binding,GO:0031852~mu-type opioid receptor binding,GO:0035255~ionotropic glutamate receptor binding,GO:0046872~metal ion binding,GO:0051430~corticotropin-releasing hormone receptor 1 binding,
GTPBP8	GTP binding protein 8 (putative)(GTPBP8)	Homo sapiens		GO:0005739~mitochondrion,	GO:0005515~protein binding,GO:0005525~GTP binding,GO:0046872~metal ion binding,
H2AZ2	H2A.Z variant histone 2(H2AZ2)	Homo sapiens	GO:0006342~chromatin silencing,	GO:0000786~nucleosome,GO:0005634~nucleus,GO:0070062~extracellular exosome,	GO:0003677~DNA binding,GO:0030527~structural constituent of chromatin,GO:0046982~protein heterodimerization activity,
H2BC12	H2B clustered histone 12(H2BC12)	Homo sapiens	GO:0002227~innate immune response in mucosa,GO:0006334~nucleosome assembly,GO:0019731~antibacterial humoral response,GO:0031640~killing of cells of other organism,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide,	GO:0000786~nucleosome,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0030527~structural constituent of chromatin,GO:0046982~protein heterodimerization activity,
H2BC21	H2B clustered histone 21(H2BC21)	Homo sapiens	GO:0002227~innate immune response in mucosa,GO:0006334~nucleosome assembly,GO:0019731~antibacterial humoral response,GO:0050830~defense response to Gram-positive bacterium,GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide,	GO:0000786~nucleosome,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0030527~structural constituent of chromatin,GO:0046982~protein heterodimerization activity,
HDGFL3	HDGF like 3(HDGFL3)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007026~negative regulation of microtubule depolymerization,GO:0007165~signal transduction,GO:0031175~neuron projection development,GO:0046785~microtubule polymerization,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0003690~double-stranded DNA binding,GO:0003712~transcription cofactor activity,GO:0008017~microtubule binding,GO:0008083~growth factor activity,GO:0015631~tubulin binding,
HEATR1	HEAT repeat containing 1(HEATR1)	Homo sapiens	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),GO:0006364~rRNA processing,GO:0045943~positive regulation of transcription from RNA polymerase I promoter,GO:2000234~positive regulation of rRNA processing,	GO:0001650~fibrillar center,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0016020~membrane,GO:0030686~90S preribosome,GO:0032040~small-subunit processome,GO:0034455~t-UTP complex,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0030515~snoRNA binding,
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6(HERC6)	Homo sapiens	GO:0002244~hematopoietic progenitor cell differentiation,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0009617~response to bacterium,GO:0016567~protein ubiquitination,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004842~ubiquitin-protein transferase activity,GO:0061630~ubiquitin protein ligase activity,
HTATSF1	HIV-1 Tat specific factor 1(HTATSF1)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0019079~viral genome replication,GO:0032784~regulation of DNA-templated transcription, elongation,GO:1903241~U2-type prespliceosome assembly,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005684~U2-type spliceosomal complex,GO:0005686~U2 snRNP,	GO:0003723~RNA binding,GO:0005515~protein binding,
HTRA1	HtrA serine peptidase 1(HTRA1)	Homo sapiens	GO:0001890~placenta development,GO:0006508~proteolysis,GO:0012501~programmed cell death,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0043065~positive regulation of apoptotic process,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050687~negative regulation of defense response to virus,GO:0060718~chorionic trophoblast cell differentiation,GO:0097187~dentinogenesis,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0005520~insulin-like growth factor binding,GO:0008236~serine-type peptidase activity,GO:0019838~growth factor binding,GO:0042802~identical protein binding,
IQGAP1	IQ motif containing GTPase activating protein 1(IQGAP1)	Homo sapiens	GO:0001817~regulation of cytokine production,GO:0007165~signal transduction,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007346~regulation of mitotic cell cycle,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0010761~fibroblast migration,GO:0016477~cell migration,GO:0032956~regulation of actin cytoskeleton organization,GO:0035305~negative regulation of dephosphorylation,GO:0036120~cellular response to platelet-derived growth factor stimulus,GO:0043086~negative regulation of catalytic activity,GO:0043087~regulation of GTPase activity,GO:0043406~positive regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0045860~positive regulation of protein kinase activity,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0051894~positive regulation of focal adhesion assembly,GO:0071277~cellular response to calcium ion,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:0072015~glomerular visceral epithelial cell development,GO:1900006~positive regulation of dendrite development,GO:1900086~positive regulation of peptidyl-tyrosine autophosphorylation,GO:1903829~positive regulation of cellular protein localization,GO:1904754~positive regulation of vascular associated smooth muscle cell migration,GO:1990138~neuron projection extension,GO:1990776~response to angiotensin,	GO:0001726~ruffle,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005874~microtubule,GO:0005884~actin filament,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0015629~actin cytoskeleton,GO:0015630~microtubule cytoskeleton,GO:0016328~lateral plasma membrane,GO:0030424~axon,GO:0030426~growth cone,GO:0030496~midbody,GO:0030667~secretory granule membrane,GO:0030864~cortical actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0032991~macromolecular complex,GO:0036057~slit diaphragm,GO:0036464~cytoplasmic ribonucleoprotein granule,GO:0043005~neuron projection,GO:0045121~membrane raft,GO:0070062~extracellular exosome,GO:1990904~ribonucleoprotein complex,	GO:0005078~MAP-kinase scaffold activity,GO:0005095~GTPase inhibitor activity,GO:0005096~GTPase activator activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0019901~protein kinase binding,GO:0019903~protein phosphatase binding,GO:0019904~protein domain specific binding,GO:0031267~small GTPase binding,GO:0043539~protein serine/threonine kinase activator activity,GO:0044548~S100 protein binding,GO:0044877~macromolecular complex binding,GO:0045296~cadherin binding,GO:0051015~actin filament binding,GO:0051019~mitogen-activated protein kinase binding,GO:0060090~binding, bridging,
