ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
ACAT2	acetyl-CoA acetyltransferase 2(ACAT2)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0006635~fatty acid beta-oxidation,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003985~acetyl-CoA C-acetyltransferase activity,GO:0005515~protein binding,	hsa00071:Fatty acid degradation,hsa00280:Valine, leucine and isoleucine degradation,hsa00310:Lysine degradation,hsa00380:Tryptophan metabolism,hsa00620:Pyruvate metabolism,hsa00630:Glyoxylate and dicarboxylate metabolism,hsa00650:Butanoate metabolism,hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa01200:Carbon metabolism,hsa01212:Fatty acid metabolism,hsa04975:Fat digestion and absorption,		KW-0963~Cytoplasm,	KW-0012~Acyltransferase,KW-0808~Transferase,	KW-0007~Acetylation,	ACT_SITE:Acyl-thioester intermediate,ACT_SITE:Proton donor/acceptor,BINDING:Coenzyme A,BINDING:Coenzyme A; via carbonyl oxygen,SITE:Increases nucleophilicity of active site Cys,
ACAA1	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	GO:0000038~very long-chain fatty acid metabolic process,GO:0006635~fatty acid beta-oxidation,GO:0008206~bile acid metabolic process,GO:0010124~phenylacetate catabolic process,GO:0033540~fatty acid beta-oxidation using acyl-CoA oxidase,GO:0036109~alpha-linolenic acid metabolic process,	GO:0005576~extracellular region,GO:0005777~peroxisome,GO:0005782~peroxisomal matrix,GO:0005829~cytosol,GO:0016020~membrane,GO:0035580~specific granule lumen,	GO:0003985~acetyl-CoA C-acetyltransferase activity,GO:0003988~acetyl-CoA C-acyltransferase activity,GO:0005515~protein binding,GO:0008775~acetate CoA-transferase activity,GO:0016401~palmitoyl-CoA oxidase activity,GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,GO:0050633~acetyl-CoA C-myristoyltransferase activity,	hsa00071:Fatty acid degradation,hsa00280:Valine, leucine and isoleucine degradation,hsa00592:alpha-Linolenic acid metabolism,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,hsa01212:Fatty acid metabolism,hsa03320:PPAR signaling pathway,hsa04146:Peroxisome,	KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,	KW-0576~Peroxisome,	KW-0012~Acyltransferase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:Acyl-thioester intermediate,ACT_SITE:Proton acceptor,DOMAIN:Thiolase_C,DOMAIN:Thiolase_N,TRANSIT:Peroxisome,
ADI1	acireductone dioxygenase 1(ADI1)	Homo sapiens	GO:0006555~methionine metabolic process,GO:0009086~methionine biosynthetic process,GO:0019509~L-methionine salvage from methylthioadenosine,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,	GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0010308~acireductone dioxygenase (Ni2+-requiring) activity,GO:0010309~acireductone dioxygenase [iron(II)-requiring] activity,GO:0016491~oxidoreductase activity,	hsa00270:Cysteine and methionine metabolism,hsa01100:Metabolic pathways,	KW-0028~Amino-acid biosynthesis,KW-0486~Methionine biosynthesis,	KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,		COMPBIAS:Basic and acidic residues,METAL:Fe(2+); for iron-dependent acireductone dioxygenase activity,METAL:Ni(2+); for nickel-dependent acireductone dioxygenase activity,MUTAGEN:E->A: Loss of aci-reductone dioxygenase activity.,REGION:Disordered,
ASCC3	activating signal cointegrator 1 complex subunit 3(ASCC3)	Homo sapiens	GO:0006307~DNA dealkylation involved in DNA repair,GO:0008283~cell proliferation,GO:0032508~DNA duplex unwinding,GO:0032790~ribosome disassembly,GO:0072344~rescue of stalled ribosome,GO:1990116~ribosome-associated ubiquitin-dependent protein catabolic process,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0016607~nuclear speck,GO:0099053~activating signal cointegrator 1 complex,GO:1990391~DNA repair complex,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0043138~3'-5' DNA helicase activity,		KW-0227~DNA damage,KW-0234~DNA repair,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0347~Helicase,KW-0378~Hydrolase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:Helicase ATP-binding,DOMAIN:Helicase ATP-binding 1,DOMAIN:Helicase ATP-binding 2,DOMAIN:Helicase C-terminal,DOMAIN:Helicase C-terminal 1,DOMAIN:Helicase C-terminal 2,DOMAIN:SEC63 1,DOMAIN:SEC63 2,MOTIF:DEIH box,MOTIF:DEVH box,MUTAGEN:G->D: Abolishes 3'-5' DNA helicase activity and ability to promote DNA repair.,MUTAGEN:K->R: Defective activation of the ribosome quality control (RQC) pathway. Impairs its association with ribosomes.,NP_BIND:ATP,REGION:Required for interaction with ASCC2,
ATF1	activating transcription factor 1(ATF1)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0010976~positive regulation of neuron projection development,GO:0014070~response to organic cyclic compound,GO:0014074~response to purine-containing compound,GO:0019933~cAMP-mediated signaling,GO:0032025~response to cobalt ion,GO:0034622~cellular macromolecular complex assembly,GO:0045740~positive regulation of DNA replication,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0065003~macromolecular complex assembly,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0090575~RNA polymerase II transcription factor complex,GO:1990589~ATF4-CREB1 transcription factor complex,GO:1990590~ATF1-ATF4 transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0044877~macromolecular complex binding,GO:0046982~protein heterodimerization activity,	hsa04925:Aldosterone synthesis and secretion,hsa05202:Transcriptional misregulation in cancer,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0010~Activator,KW-0238~DNA-binding,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:KID,DOMAIN:bZIP,MUTAGEN:S->A: Impaired CDK3-mediated phosphorylation and altered transactivation and transcriptional activities.,REGION:Basic motif,REGION:Disordered,REGION:Leucine-zipper,SITE:Breakpoint for translocation to form chimeric EWSR1/ATF1 protein,SITE:Breakpoint for translocation to form chimeric FUS/ATF1 protein,
ATF5	activating transcription factor 5(ATF5)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0008285~negative regulation of cell proliferation,GO:0009791~post-embryonic development,GO:0021891~olfactory bulb interneuron development,GO:0021930~cerebellar granule cell precursor proliferation,GO:0035264~multicellular organism growth,GO:0043066~negative regulation of apoptotic process,GO:0045444~fat cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046605~regulation of centrosome cycle,GO:1902750~negative regulation of cell cycle G2/M phase transition,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005813~centrosome,GO:0005829~cytosol,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0015631~tubulin binding,GO:0019900~kinase binding,GO:0043565~sequence-specific DNA binding,		KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0010~Activator,KW-0238~DNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	COMPBIAS:Basic and acidic residues,COMPBIAS:Pro residues,DOMAIN:BZIP,DOMAIN:bZIP,MUTAGEN:D->A: Resistant to cleavage by CASP3.,MUTAGEN:L->A: Increases protein levels.,MUTAGEN:LEL->AEA: Increases protein levels.,MUTAGEN:LGWLV->AGWAA: Increases protein levels.,MUTAGEN:LL->AA: Increases protein levels.,MUTAGEN:LL->AA: Increases protein levels. No effect on protein stability enhanced by IL1B.,MUTAGEN:LL->II: Decreases protein levels.,MUTAGEN:LL->VV: No effect on protein levels. No effect on protein stability enhanced by IL1B.,MUTAGEN:LLATLGLELDRALLPASGLGWLV->AAATAGAEADRAAAPASGAGWAA: Highly increases protein levels. No effect on protein stability enhanced by IL1B.,MUTAGEN:S->A: Not phosphorylated; when associated with 92-A--A-94 and A-126.,MUTAGEN:S->A: Not phosphorylated; when associated with 92-A--A-94 and A-190.,MUTAGEN:SPT->APA: Not phosphorylated; when associated with A-126 and A-190.,REGION:Basic motif,REGION:Disordered,REGION:Interaction with PTP4A1,REGION:Leucine-zipper,REGION:Required for protein stabilization induced by IL1B,
ATF6	activating transcription factor 6(ATF6)	Homo sapiens	GO:0001654~eye development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006457~protein folding,GO:0007165~signal transduction,GO:0007601~visual perception,GO:0010508~positive regulation of autophagy,GO:0030968~endoplasmic reticulum unfolded protein response,GO:0036500~ATF6-mediated unfolded protein response,GO:0036503~ERAD pathway,GO:0043065~positive regulation of apoptotic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:1903893~positive regulation of ATF6-mediated unfolded protein response,GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,	GO:0000139~Golgi membrane,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0016020~membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0031625~ubiquitin protein ligase binding,GO:0035497~cAMP response element binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,GO:1990837~sequence-specific double-stranded DNA binding,	hsa04141:Protein processing in endoplasmic reticulum,hsa05010:Alzheimer disease,hsa05012:Parkinson disease,hsa05014:Amyotrophic lateral sclerosis,hsa05022:Pathways of neurodegeneration - multiple diseases,hsa05417:Lipid and atherosclerosis,	KW-0804~Transcription,KW-0805~Transcription regulation,KW-0834~Unfolded protein response,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0539~Nucleus,	KW-0010~Activator,KW-0238~DNA-binding,	KW-0325~Glycoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:BZIP,DOMAIN:bZIP,MUTAGEN:K->R: Almost complete loss of RNF186-mediated ubiquitination.,MUTAGEN:L->V: Reduces proteolytic cleavage.,MUTAGEN:N->F: Loss of proteolytic cleavage; when associated with L-394.,MUTAGEN:P->L: Loss of proteolytic cleavage; when associated with F-391.,MUTAGEN:RR->AA: Reduces proteolytic cleavage.,MUTAGEN:T->I: Loss of glycosylation at Asn-472 and increase of Golgi translocation rate.,MUTAGEN:T->I: Loss of glycosylation at Asn-584 and increase of Golgi translocation rate. Higher increase in Golgi translocation rate; when associated with Ile-645.,MUTAGEN:T->I: Loss of glycosylation at Asn-643 and increase of Golgi translocation rate. Higher increase in Golgi translocation rate; when associated with Ile-586.,REGION:Basic motif,REGION:Disordered,REGION:Interaction with THBS4,REGION:Leucine-zipper,REGION:Transcription activation,SITE:Cleavage; by MBTPS1,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
ACBD3	acyl-CoA binding domain containing 3(ACBD3)	Homo sapiens	GO:0006694~steroid biosynthetic process,	GO:0000139~Golgi membrane,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0016020~membrane,	GO:0000062~fatty-acyl-CoA binding,GO:0005515~protein binding,GO:0034237~protein kinase A regulatory subunit binding,	hsa05132:Salmonella infection,	KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0945~Host-virus interaction,	KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0496~Mitochondrion,		KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Pro residues,DOMAIN:ACB,DOMAIN:GOLD,MUTAGEN:EQHY->AAAA: Loss of PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:F->A: Differential effect on PI4KB- and TBC1D22B-binding, with PI4KB-binding being much more affected than TBC1D22B-binding.,MUTAGEN:FEW->AAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:FQ->AA: Complete loss of interaction with PI4KB.,MUTAGEN:FQ->AA: Loss of interaction with PI4KB.,MUTAGEN:FWEF->AAAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:GSH->AAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:H->A: Almost complete loss of PI4KB- and TBC1D22B-binding.,MUTAGEN:I->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:I->A: Partial loss of PI4KB- and TBC1D22B-binding.,MUTAGEN:IK->AE: No effect on interaction with PI4KB but loss of interaction with Kobuviral (Aichi) 3A protein. Loss of ability to sensitize PI4KB activation by Kobuviral (Aichi) 3A protein.,MUTAGEN:K->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:L->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:LWR->AAA: Almost complete loss of Golgi loalization.,MUTAGEN:PGN->AAA: Loss of PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:Q->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:Q->A: Partial loss of PI4KB- and TBC1D22B-binding.,MUTAGEN:QQY->AAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:RVYYT->AAAAA: 75% reduced ability to interact with the 3A protein of enterovirus D68.,MUTAGEN:S->A: Partial loss of PI4KB- and TBC1D22B-binding.,MUTAGEN:SS->AA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:SYL->AAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:SYLF->AAAA: 60% reduced ability to interact with the 3A protein of enterovirus D68.,MUTAGEN:SYS->AAA: No effect on PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:T->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:VQF->AAA: Loss of PI4KB-, TBC1D22A- and TBC1D22B-binding.,MUTAGEN:VTVRV->AAAAA: 95% reduced ability to interact with the 3A protein of enterovirus D68.,MUTAGEN:WTR->ATA: 80% reduced ability to interact with the 3A protein of enterovirus D68.,MUTAGEN:Y->A: Almost complete loss of PI4KB- and TBC1D22B-binding.,MUTAGEN:Y->A: Differential loss of PI4KB- and TBC1D22B-binding, with PI4KB-binding being much more affected than TBC1D22B-binding.,MUTAGEN:Y->A: No effect on PI4KB- and TBC1D22B-binding.,MUTAGEN:Y->A: No effect on interaction with PI4KB but loss of interaction with Kobuviral (Aichi) 3A protein. Loss of ability to sensitize PI4KB activation by Kobuviral (Aichi) 3A protein.,MUTAGEN:Y->A: No loss of interaction with PI4KB.,REGION:Charged amino-acid region (CAR),REGION:Disordered,REGION:Membrane-binding,REGION:Q domain; Interaction with PI4KB, TBC1D22A and TBC1D22B,SITE:Membrane-binding,
ACOT9	acyl-CoA thioesterase 9(ACOT9)	Homo sapiens	GO:0006637~acyl-CoA metabolic process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,	GO:0003986~acetyl-CoA hydrolase activity,GO:0016290~palmitoyl-CoA hydrolase activity,GO:0016787~hydrolase activity,GO:0047617~acyl-CoA hydrolase activity,GO:0052689~carboxylic ester hydrolase activity,			KW-0496~Mitochondrion,	KW-0378~Hydrolase,KW-0719~Serine esterase,	KW-0007~Acetylation,	DOMAIN:HotDog ACOT-type,DOMAIN:HotDog ACOT-type 1,DOMAIN:HotDog ACOT-type 2,TRANSIT:Mitochondrion,
ADAT1	adenosine deaminase tRNA specific 1(ADAT1)	Homo sapiens	GO:0006396~RNA processing,GO:0008033~tRNA processing,		GO:0003723~RNA binding,GO:0004000~adenosine deaminase activity,GO:0008251~tRNA-specific adenosine deaminase activity,GO:0046872~metal ion binding,		KW-0819~tRNA processing,		KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	ACT_SITE:Proton donor,BINDING:Inositol hexakisphosphate,DOMAIN:A to I editase,METAL:Zinc,REGION:Disordered,
ADGRE2	adhesion G protein-coupled receptor E2(ADGRE2)	Homo sapiens	GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0016477~cell migration,GO:0043304~regulation of mast cell degranulation,GO:0071621~granulocyte chemotaxis,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0031256~leading edge membrane,GO:0032587~ruffle membrane,	GO:0004930~G-protein coupled receptor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0035374~chondroitin sulfate binding,		KW-0130~Cell adhesion,KW-0395~Inflammatory response,	KW-0472~Membrane,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0068~Autocatalytic cleavage,KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:EGF-like,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2; calcium-binding,DOMAIN:EGF-like 3; calcium-binding,DOMAIN:EGF-like 4; calcium-binding,DOMAIN:EGF-like 5; calcium-binding,DOMAIN:GPS,DOMAIN:G_PROTEIN_RECEP_F2_4,MUTAGEN:S->A: Abolishes cleavage.,SITE:Cleavage; by autolysis,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
ADGRG1	adhesion G protein-coupled receptor G1(ADGRG1)	Homo sapiens	GO:0001525~angiogenesis,GO:0007155~cell adhesion,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007266~Rho protein signal transduction,GO:0007267~cell-cell signaling,GO:0007399~nervous system development,GO:0007420~brain development,GO:0008285~negative regulation of cell proliferation,GO:0010573~vascular endothelial growth factor production,GO:0016477~cell migration,GO:0021796~cerebral cortex regionalization,GO:0021801~cerebral cortex radial glia guided migration,GO:0021819~layer formation in cerebral cortex,GO:0030154~cell differentiation,GO:0035025~positive regulation of Rho protein signal transduction,GO:0045785~positive regulation of cell adhesion,GO:0061351~neural precursor cell proliferation,GO:0061484~hematopoietic stem cell homeostasis,GO:0070528~protein kinase C signaling,GO:0072520~seminiferous tubule development,GO:2000179~positive regulation of neural precursor cell proliferation,GO:2001223~negative regulation of neuron migration,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0045121~membrane raft,GO:0070062~extracellular exosome,GO:0097451~glial limiting end-foot,	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0008201~heparin binding,GO:0050840~extracellular matrix binding,		KW-0130~Cell adhesion,KW-0221~Differentiation,KW-0524~Neurogenesis,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,	KW-0217~Developmental protein,KW-0297~G-protein coupled receptor,KW-0358~Heparin-binding,KW-0675~Receptor,KW-0807~Transducer,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0832~Ubl conjugation,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:GAIN_A,DOMAIN:GPS,DOMAIN:G_PROTEIN_RECEP_F2_4,DOMAIN:PLL,MUTAGEN:H->A: Abolishes heparin-binding; when associated with A-29 and A-33.,MUTAGEN:H->S: Abolishes cleavage.,MUTAGEN:R->A: Abolishes heparin-binding; when associated with A-28 and A-33.,MUTAGEN:R->A: Reduces heparin-binding. Abolishes heparin-binding; when associated with A-28 and A-29.,MUTAGEN:T->G: Abolishes cleavage but does not affect cell membrane localization or signaling activity.,REGION:Disordered,REGION:Heparin-binding,SITE:Cleavage; by autolysis,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
ADRB2	adrenoceptor beta 2(ADRB2)	Homo sapiens	GO:0002024~diet induced thermogenesis,GO:0002025~norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0002028~regulation of sodium ion transport,GO:0002032~desensitization of G-protein coupled receptor protein signaling pathway by arrestin,GO:0006366~transcription from RNA polymerase II promoter,GO:0006898~receptor-mediated endocytosis,GO:0006939~smooth muscle contraction,GO:0006940~regulation of smooth muscle contraction,GO:0007166~cell surface receptor signaling pathway,GO:0007171~activation of transmembrane receptor protein tyrosine kinase activity,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0008333~endosome to lysosome transport,GO:0009409~response to cold,GO:0010739~positive regulation of protein kinase A signaling,GO:0030501~positive regulation of bone mineralization,GO:0031649~heat generation,GO:0040015~negative regulation of multicellular organism growth,GO:0043410~positive regulation of MAPK cascade,GO:0045453~bone resorption,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0045986~negative regulation of smooth muscle contraction,GO:0050873~brown fat cell differentiation,GO:0071875~adrenergic receptor signaling pathway,GO:0071880~adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:0097746~regulation of blood vessel diameter,GO:1901098~positive regulation of autophagosome maturation,GO:1904504~positive regulation of lipophagy,GO:1904646~cellular response to beta-amyloid,GO:1990911~response to psychosocial stress,GO:2000481~positive regulation of cAMP-dependent protein kinase activity,GO:2000969~positive regulation of AMPA receptor activity,	GO:0005634~nucleus,GO:0005764~lysosome,GO:0005768~endosome,GO:0005769~early endosome,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0010008~endosome membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030669~clathrin-coated endocytic vesicle membrane,GO:0043235~receptor complex,	GO:0001540~beta-amyloid binding,GO:0004930~G-protein coupled receptor activity,GO:0004941~beta2-adrenergic receptor activity,GO:0005515~protein binding,GO:0008179~adenylate cyclase binding,GO:0015459~potassium channel regulator activity,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0044877~macromolecular complex binding,GO:0051380~norepinephrine binding,	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04923:Regulation of lipolysis in adipocytes,hsa04924:Renin secretion,hsa04970:Salivary secretion,hsa05207:Chemical carcinogenesis - receptor activation,		KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0967~Endosome,KW-1003~Cell membrane,	KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0379~Hydroxylation,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1015~Disulfide bond,	BINDING:Carazolol; inverse agonist,BINDING:Timolol; inverse agonist,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:G_PROTEIN_RECEP_F1_2,LIPID:S-palmitoyl cysteine,MOTIF:PDZ-binding,MUTAGEN:C->A: Loss of basal palmitoylation.,MUTAGEN:C->A: Loss of ligand-induced palmitoylation.,MUTAGEN:C->G: Uncoupled receptor.,MUTAGEN:D->N: Affects binding of catecholamines, and produces an uncoupling between the receptor and stimulatory G proteins.,MUTAGEN:SS->AA: Delayed agonist-promoted desensitization.,MUTAGEN:Y->A: Does not affect insulin-induced tyrosine phosphorylation or insulin-induced receptor supersensitization.,MUTAGEN:Y->F: Abolishes insulin-induced tyrosine phosphorylation and insulin-induced receptor supersensitization.,MUTAGEN:Y->F: Does not affect insulin-induced tyrosine phosphorylation or insulin-induced receptor supersensitization.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
