ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15(DNAJC15)	Homo sapiens				GO:0009267~cellular response to starvation,GO:0019216~regulation of lipid metabolic process,GO:0030150~protein import into mitochondrial matrix,GO:0031333~negative regulation of protein complex assembly,GO:1902957~negative regulation of mitochondrial electron transport, NADH to ubiquinone,	GO:0001405~presequence translocase-associated import motor,GO:0016021~integral component of membrane,	GO:0001671~ATPase activator activity,GO:0005515~protein binding,	IPR001623:DnaJ domain,				SM00271:DnaJ,	KW-0653~Protein transport,KW-0811~Translocation,KW-0813~Transport,	KW-0472~Membrane,KW-0496~Mitochondrion,KW-0999~Mitochondrion inner membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0143~Chaperone,	KW-0597~Phosphoprotein,	DOMAIN:J,TOPO_DOM:Mitochondrial intermembrane,TOPO_DOM:Mitochondrial matrix,TRANSMEM:Helical,
EAPP	E2F associated phosphoprotein(EAPP)	Homo sapiens				GO:0008284~positive regulation of cell proliferation,GO:0032968~positive regulation of transcription elongation from RNA polymerase II promoter,GO:0034244~negative regulation of transcription elongation from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0005515~protein binding,	IPR019370:E2F-associated phosphoprotein,						KW-0539~Nucleus,KW-0963~Cytoplasm,					KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
E2F2	E2F transcription factor 2(E2F2)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006367~transcription initiation from RNA polymerase II promoter,GO:0007049~cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051726~regulation of cell cycle,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:1903671~negative regulation of sprouting angiogenesis,GO:1990086~lens fiber cell apoptotic process,	GO:0000785~chromatin,GO:0005654~nucleoplasm,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,GO:1990837~sequence-specific double-stranded DNA binding,	IPR003316:Transcription factor E2F/dimerisation partner (TDP),IPR015633:E2F Family,	hsa01522:Endocrine resistance,hsa04110:Cell cycle,hsa04218:Cellular senescence,hsa04934:Cushing syndrome,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05163:Human cytomegalovirus infection,hsa05166:Human T-cell leukemia virus 1 infection,hsa05167:Kaposi sarcoma-associated herpesvirus infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05224:Breast cancer,hsa05225:Hepatocellular carcinoma,hsa05226:Gastric cancer,			SM01372:SM01372,	KW-0131~Cell cycle,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0010~Activator,KW-0238~DNA-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,COMPBIAS:Pro residues,MOTIF:DEF box,REGION:Cyclin A/CDK2 binding,REGION:Dimerization,REGION:Disordered,REGION:Leucine-zipper,REGION:Retinoblastoma protein binding,REGION:Transactivation,
EBNA1BP2	EBNA1 binding protein 2(EBNA1BP2)	Homo sapiens				GO:0006364~rRNA processing,GO:0042254~ribosome biogenesis,GO:0042273~ribosomal large subunit biogenesis,	GO:0005694~chromosome,GO:0005730~nucleolus,GO:0030687~preribosome, large subunit precursor,GO:0034399~nuclear periphery,	GO:0003723~RNA binding,GO:0005515~protein binding,	IPR008610:Eukaryotic rRNA processing,					KW-0690~Ribosome biogenesis,	KW-0539~Nucleus,		KW-0175~Coiled coil,			KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),REGION:Disordered,
EBP	EBP cholestenol delta-isomerase(EBP)	Homo sapiens				GO:0001501~skeletal system development,GO:0006695~cholesterol biosynthetic process,GO:0008203~cholesterol metabolic process,GO:0016125~sterol metabolic process,GO:0016126~sterol biosynthetic process,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0043931~ossification involved in bone maturation,	GO:0005635~nuclear envelope,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0031410~cytoplasmic vesicle,	GO:0000247~C-8 sterol isomerase activity,GO:0004769~steroid delta-isomerase activity,GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0042910~xenobiotic transporter activity,GO:0047750~cholestenol delta-isomerase activity,	IPR007905:Emopamil-binding,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,	300960~MEND syndrome,302960~Chondrodysplasia punctata, X-linked dominant,			KW-0152~Cholesterol biosynthesis,KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0753~Steroid metabolism,KW-0756~Sterol biosynthesis,KW-1207~Sterol metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0539~Nucleus,KW-0968~Cytoplasmic vesicle,	KW-0225~Disease variant,KW-0242~Dwarfism,KW-0898~Cataract,KW-0977~Ichthyosis,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0413~Isomerase,	KW-0007~Acetylation,	DOMAIN:EXPERA,MUTAGEN:E->A: Reduces catalytic activity to less than 10% of wild-type.,MUTAGEN:F->A: Reduces catalytic activity to less than 35% of wild-type.,MUTAGEN:F->L: No effect on catalytic activity.,MUTAGEN:H->A: Reduces catalytic activity to less than 10% of wild-type.,MUTAGEN:I->A: Reduces catalytic activity to less than 35% of wild-type.,MUTAGEN:M->A: Reduces catalytic activity to less than 35% of wild-type.,MUTAGEN:M->V: No effect on catalytic activity.,MUTAGEN:N->A: Reduces catalytic activity to less than 10% of wild-type.,MUTAGEN:T->A: Reduces catalytic activity to less than 10% of wild-type.,MUTAGEN:W->A: Reduces catalytic activity to less than 10% of wild-type.,MUTAGEN:W->A: Reduces catalytic activity to less than 35% of wild-type.,MUTAGEN:Y->A: Reduces catalytic activity to less than 35% of wild-type.,MUTAGEN:Y->W: Reduces catalytic activity to less than 2% of wild-type.,TRANSMEM:Helical,
ELAVL1	ELAV like RNA binding protein 1(ELAVL1)	Homo sapiens		h_vegfPathway:VEGF, Hypoxia, and Angiogenesis,		GO:0000398~mRNA splicing, via spliceosome,GO:0006606~protein import into nucleus,GO:0016441~posttranscriptional gene silencing,GO:0043488~regulation of mRNA stability,GO:0045727~positive regulation of translation,GO:0048255~mRNA stabilization,GO:0051260~protein homooligomerization,GO:0060965~negative regulation of gene silencing by miRNA,GO:0070935~3'-UTR-mediated mRNA stabilization,GO:2000036~regulation of stem cell population maintenance,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0010494~cytoplasmic stress granule,GO:0016020~membrane,GO:0031410~cytoplasmic vesicle,GO:0098794~postsynapse,GO:0098978~glutamatergic synapse,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0003725~double-stranded RNA binding,GO:0003729~mRNA binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0035198~miRNA binding,GO:0035925~mRNA 3'-UTR AU-rich region binding,GO:0042803~protein homodimerization activity,	IPR000504:RNA recognition motif domain,IPR002343:Paraneoplastic encephalomyelitis antigen,IPR006548:Splicing factor ELAV/HuD,IPR012677:Nucleotide-binding, alpha-beta plait,	hsa04152:AMPK signaling pathway,hsa04657:IL-17 signaling pathway,			SM00360:RRM,		KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,		KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:RRM,DOMAIN:RRM 1,DOMAIN:RRM 2,DOMAIN:RRM 3,MUTAGEN:S->A: Decreases phosphorylation by PRKCD.,MUTAGEN:S->A: Decreases phosphorylation by PRKCD. Nearly abolishes phosphorylation by PRKCD and translocation from the nucleus into the cytoplasm; when associated with A-221.,MUTAGEN:S->A: Decreases phosphorylation by PRKCD. Nearly abolishes phosphorylation by PRKCD and translocation from the nucleus into the cytoplasm; when associated with A-318.,REGION:Disordered,
ELOVL6	ELOVL fatty acid elongase 6(ELOVL6)	Homo sapiens				GO:0006633~fatty acid biosynthetic process,GO:0006636~unsaturated fatty acid biosynthetic process,GO:0019216~regulation of lipid metabolic process,GO:0019367~fatty acid elongation, saturated fatty acid,GO:0030148~sphingolipid biosynthetic process,GO:0034625~fatty acid elongation, monounsaturated fatty acid,GO:0034626~fatty acid elongation, polyunsaturated fatty acid,GO:0035338~long-chain fatty-acyl-CoA biosynthetic process,GO:0042759~long-chain fatty acid biosynthetic process,GO:0042761~very long-chain fatty acid biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0009923~fatty acid elongase complex,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,	GO:0005515~protein binding,GO:0009922~fatty acid elongase activity,GO:0102336~3-oxo-arachidoyl-CoA synthase activity,GO:0102337~3-oxo-cerotoyl-CoA synthase activity,GO:0102338~3-oxo-lignoceronyl-CoA synthase activity,	IPR002076:GNS1/SUR4 membrane protein,	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,hsa01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0808~Transferase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,TRANSMEM:Helical,
EML3	EMAP like 3(EML3)	Homo sapiens				GO:0000226~microtubule cytoskeleton organization,GO:0007080~mitotic metaphase plate congression,GO:0051301~cell division,GO:1901673~regulation of mitotic spindle assembly,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0005856~cytoskeleton,GO:0005876~spindle microtubule,GO:0015630~microtubule cytoskeleton,GO:0030496~midbody,GO:0072686~mitotic spindle,GO:1990498~mitotic spindle microtubule,	GO:0005515~protein binding,GO:0008017~microtubule binding,	IPR001680:WD40 repeat,IPR005108:HELP,IPR011047:Quinonprotein alcohol dehydrogenase-like superfamily,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,				SM00320:WD40,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0206~Cytoskeleton,KW-0493~Microtubule,KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0853~WD repeat,			KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:HELP,MUTAGEN:S->A: No loss of phosphorylation.,MUTAGEN:T->A: Loss of phosphorylation and impaired interaction with TUBG1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7 and HAUS8.,REGION:Disordered,REPEAT:WD,REPEAT:WD 1,REPEAT:WD 10,REPEAT:WD 11,REPEAT:WD 12,REPEAT:WD 13,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,REPEAT:WD 6,REPEAT:WD 7,REPEAT:WD 8,REPEAT:WD 9,
EPHA3	EPH receptor A3(EPHA3)	Homo sapiens				GO:0007155~cell adhesion,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0007411~axon guidance,GO:0010717~regulation of epithelial to mesenchymal transition,GO:0010976~positive regulation of neuron projection development,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0032956~regulation of actin cytoskeleton organization,GO:0033674~positive regulation of kinase activity,GO:0043087~regulation of GTPase activity,GO:0045806~negative regulation of endocytosis,GO:0048013~ephrin receptor signaling pathway,GO:0051893~regulation of focal adhesion assembly,GO:0070507~regulation of microtubule cytoskeleton organization,GO:0071300~cellular response to retinoic acid,GO:0097155~fasciculation of sensory neuron axon,GO:0097156~fasciculation of motor neuron axon,GO:1903078~positive regulation of protein localization to plasma membrane,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005769~early endosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0015629~actin cytoskeleton,GO:0016021~integral component of membrane,GO:0031965~nuclear membrane,GO:0043005~neuron projection,GO:0043235~receptor complex,	GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005003~ephrin receptor activity,GO:0005004~GPI-linked ephrin receptor activity,GO:0005005~transmembrane-ephrin receptor activity,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR000719:Protein kinase, catalytic domain,IPR001090:Ephrin receptor ligand binding domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001426:Tyrosine-protein kinase, receptor class V, conserved site,IPR001660:Sterile alpha motif domain,IPR003961:Fibronectin, type III,IPR008266:Tyrosine-protein kinase, active site,IPR008979:Galactose-binding domain-like,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR011009:Protein kinase-like domain,IPR011641:Tyrosine-protein kinase ephrin type A/B receptor-like,IPR013761:Sterile alpha motif/pointed domain,IPR013783:Immunoglobulin-like fold,IPR016257:Tyrosine-protein kinase, ephrin receptor,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04360:Axon guidance,		PIRSF000666:tyrosine-protein kinase, ephrin receptor type,	SM00060:FN3,SM00219:TyrKc,SM00454:SAM,SM00615:EPH_lbd,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0675~Receptor,KW-0808~Transferase,KW-0829~Tyrosine-protein kinase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	ACT_SITE:Proton acceptor,BINDING:ATP,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Eph LBD,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,DOMAIN:Protein kinase,DOMAIN:SAM,MOTIF:PDZ-binding,MUTAGEN:F->L: Loss of EFNA5-binding ability and function.,MUTAGEN:S->A: Full kinase activity; when associated with F-596 and F-602.,MUTAGEN:V->E: Loss of EFNA5-binding ability and function.,MUTAGEN:Y->F: 10-fold suppression of kinase activity; when associated with F-596. Full kinase activity; when associated with F-596 and F-742. Full kinase activity; when associated with F-596 and A-768.,MUTAGEN:Y->F: 10-fold suppression of kinase activity; when associated with F-602. Full kinase activity; when associated with F-602 and F-742. Full kinase activity; when associated with F-602 and A-768.,MUTAGEN:Y->F: Full kinase activity; when associated with F-596 and F-602.,NP_BIND:ATP,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
EPHB2	EPH receptor B2(EPHB2)	Homo sapiens				GO:0001525~angiogenesis,GO:0001655~urogenital system development,GO:0001933~negative regulation of protein phosphorylation,GO:0002639~positive regulation of immunoglobulin production,GO:0006469~negative regulation of protein kinase activity,GO:0007162~negative regulation of cell adhesion,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0007399~nervous system development,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0007611~learning or memory,GO:0007612~learning,GO:0010628~positive regulation of gene expression,GO:0016310~phosphorylation,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021631~optic nerve morphogenesis,GO:0021934~hindbrain tangential cell migration,GO:0021952~central nervous system projection neuron axonogenesis,GO:0022038~corpus callosum development,GO:0030193~regulation of blood coagulation,GO:0030335~positive regulation of cell migration,GO:0030890~positive regulation of B cell proliferation,GO:0031290~retinal ganglion cell axon guidance,GO:0031915~positive regulation of synaptic plasticity,GO:0032760~positive regulation of tumor necrosis factor production,GO:0033674~positive regulation of kinase activity,GO:0042113~B cell activation,GO:0042472~inner ear morphogenesis,GO:0046425~regulation of JAK-STAT cascade,GO:0046580~negative regulation of Ras protein signal transduction,GO:0048013~ephrin receptor signaling pathway,GO:0048168~regulation of neuronal synaptic plasticity,GO:0048170~positive regulation of long-term neuronal synaptic plasticity,GO:0048593~camera-type eye morphogenesis,GO:0050771~negative regulation of axonogenesis,GO:0050878~regulation of body fluid levels,GO:0051389~inactivation of MAPKK activity,GO:0051489~regulation of filopodium assembly,GO:0051965~positive regulation of synapse assembly,GO:0060021~palate development,GO:0060996~dendritic spine development,GO:0060997~dendritic spine morphogenesis,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071679~commissural neuron axon guidance,GO:0097104~postsynaptic membrane assembly,GO:0099557~trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900273~positive regulation of long-term synaptic potentiation,GO:1903078~positive regulation of protein localization to plasma membrane,GO:1904646~cellular response to beta-amyloid,GO:1904782~negative regulation of NMDA glutamate receptor activity,GO:1904783~positive regulation of NMDA glutamate receptor activity,GO:2000316~regulation of T-helper 17 type immune response,GO:2000822~regulation of behavioral fear response,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0043197~dendritic spine,GO:0043235~receptor complex,GO:0098794~postsynapse,GO:0098978~glutamatergic synapse,GO:0099055~integral component of postsynaptic membrane,GO:0099056~integral component of presynaptic membrane,	GO:0001540~beta-amyloid binding,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005003~ephrin receptor activity,GO:0005005~transmembrane-ephrin receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008046~axon guidance receptor activity,GO:0042802~identical protein binding,GO:0044877~macromolecular complex binding,	IPR000719:Protein kinase, catalytic domain,IPR001090:Ephrin receptor ligand binding domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001426:Tyrosine-protein kinase, receptor class V, conserved site,IPR001660:Sterile alpha motif domain,IPR003961:Fibronectin, type III,IPR008266:Tyrosine-protein kinase, active site,IPR008979:Galactose-binding domain-like,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR011009:Protein kinase-like domain,IPR011641:Tyrosine-protein kinase ephrin type A/B receptor-like,IPR013761:Sterile alpha motif/pointed domain,IPR013783:Immunoglobulin-like fold,IPR016257:Tyrosine-protein kinase, ephrin receptor,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04360:Axon guidance,	603688~Prostate cancer/brain cancer susceptibility, somatic,618462~Bleeding disorder, platelet-type, 22,	PIRSF000666:tyrosine-protein kinase, ephrin receptor type,	SM00060:FN3,SM00219:TyrKc,SM00454:SAM,SM00615:EPH_lbd,	KW-0524~Neurogenesis,	KW-0472~Membrane,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0043~Tumor suppressor,KW-0225~Disease variant,	KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0217~Developmental protein,KW-0418~Kinase,KW-0675~Receptor,KW-0808~Transferase,KW-0829~Tyrosine-protein kinase,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,BINDING:ATP,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,DOMAIN:Eph LBD,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,DOMAIN:Protein kinase,DOMAIN:SAM,MOTIF:PDZ-binding (in isoform 2),NP_BIND:ATP,REGION:Disordered,SITE:Cleavage; by a metalloproteinase,SITE:Cleavage; by gamma-secretase/PS1,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
EDEM1	ER degradation enhancing alpha-mannosidase like protein 1(EDEM1)	Homo sapiens		h_eradPathway:ERï¿½associated degradation (ERAD) Pathway,		GO:0005975~carbohydrate metabolic process,GO:0006986~response to unfolded protein,GO:0030433~ubiquitin-dependent ERAD pathway,GO:0036498~IRE1-mediated unfolded protein response,GO:0036510~trimming of terminal mannose on C branch,GO:0045047~protein targeting to ER,GO:0097466~ubiquitin-dependent glycoprotein ERAD pathway,GO:1904154~positive regulation of retrograde protein transport, ER to cytosol,GO:1904380~endoplasmic reticulum mannose trimming,GO:1904382~mannose trimming involved in glycoprotein ERAD pathway,	GO:0005783~endoplasmic reticulum,GO:0016020~membrane,GO:0016235~aggresome,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0044322~endoplasmic reticulum quality control compartment,	GO:0004571~mannosyl-oligosaccharide 1,2-alpha-mannosidase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0051787~misfolded protein binding,	IPR001382:Glycoside hydrolase, family 47,IPR012341:Six-hairpin glycosidase,	hsa04141:Protein processing in endoplasmic reticulum,				KW-0834~Unfolded protein response,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,		KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0326~Glycosidase,KW-0378~Hydrolase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,MUTAGEN:D->N: Normal affinity for misfolded glycoproteins, but impaired SEL1L binding.,MUTAGEN:E->Q: Normal affinity for misfolded glycoproteins, but impaired SEL1L binding.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
ETS1	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens		h_etsPathway:METS affect on Macrophage Differentiation,h_keratinocytePathway:Keratinocyte Differentiation,		GO:0001666~response to hypoxia,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006955~immune response,GO:0007565~female pregnancy,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009612~response to mechanical stimulus,GO:0010595~positive regulation of endothelial cell migration,GO:0010628~positive regulation of gene expression,GO:0010715~regulation of extracellular matrix disassembly,GO:0021854~hypothalamus development,GO:0021983~pituitary gland development,GO:0030154~cell differentiation,GO:0030578~PML body organization,GO:0032355~response to estradiol,GO:0034616~response to laminar fluid shear stress,GO:0042981~regulation of apoptotic process,GO:0043536~positive regulation of blood vessel endothelial cell migration,GO:0044849~estrous cycle,GO:0045648~positive regulation of erythrocyte differentiation,GO:0045765~regulation of angiogenesis,GO:0045766~positive regulation of angiogenesis,GO:0045786~negative regulation of cell cycle,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046677~response to antibiotic,GO:0048870~cell motility,GO:0050729~positive regulation of inflammatory response,GO:0051272~positive regulation of cellular component movement,GO:0060055~angiogenesis involved in wound healing,GO:0070301~cellular response to hydrogen peroxide,GO:0070555~response to interleukin-1,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1904996~positive regulation of leukocyte adhesion to vascular endothelial cell,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001222~transcription corepressor binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0035035~histone acetyltransferase binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,	IPR000418:Ets domain,IPR003118:Pointed domain,IPR013761:Sterile alpha motif/pointed domain,IPR016311:Transforming protein C-ets,	hsa04014:Ras signaling pathway,hsa04218:Cellular senescence,hsa05166:Human T-cell leukemia virus 1 infection,hsa05200:Pathways in cancer,hsa05211:Renal cell carcinoma,		PIRSF001698:transforming factor C-ets,	SM00251:SAM_PNT,SM00413:ETS,	KW-0391~Immunity,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0656~Proto-oncogene,			KW-0238~DNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate,DNA_BIND:ETS,DOMAIN:ETS,DOMAIN:PNT,REGION:Activation domain; required for transcription activation,REGION:Disordered,
